;filename;id;synset_id;label
26;ILSVRC2012_val_00000027.JPEG;01872401-n;102;echidna, spiny anteater, anteater
27;ILSVRC2012_val_00000028.JPEG;02099601-n;207;golden retriever
28;ILSVRC2012_val_00000029.JPEG;02977058-n;480;cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM
29;ILSVRC2012_val_00000030.JPEG;04147183-n;780;schooner
30;ILSVRC2012_val_00000031.JPEG;03729826-n;644;matchstick
31;ILSVRC2012_val_00000032.JPEG;02116738-n;275;African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
32;ILSVRC2012_val_00000033.JPEG;01537544-n;14;indigo bunting, indigo finch, indigo bird, Passerina cyanea
33;ILSVRC2012_val_00000034.JPEG;07753592-n;954;banana
34;ILSVRC2012_val_00000035.JPEG;02110063-n;249;malamute, malemute, Alaskan malamute
35;ILSVRC2012_val_00000036.JPEG;04204238-n;790;shopping basket
36;ILSVRC2012_val_00000037.JPEG;03045698-n;501;cloak
37;ILSVRC2012_val_00000038.JPEG;03272562-n;547;electric locomotive
38;ILSVRC2012_val_00000039.JPEG;04263257-n;809;soup bowl
39;ILSVRC2012_val_00000040.JPEG;03584829-n;606;iron, smoothing iron
40;ILSVRC2012_val_00000041.JPEG;02134418-n;297;sloth bear, Melursus ursinus, Ursus ursinus
41;ILSVRC2012_val_00000042.JPEG;07613480-n;927;trifle
42;ILSVRC2012_val_00000043.JPEG;02791270-n;424;barbershop
43;ILSVRC2012_val_00000044.JPEG;02086646-n;156;Blenheim spaniel
44;ILSVRC2012_val_00000045.JPEG;01740131-n;60;night snake, Hypsiglena torquata
45;ILSVRC2012_val_00000046.JPEG;10565667-n;983;scuba diver
46;ILSVRC2012_val_00000047.JPEG;02111277-n;256;Newfoundland, Newfoundland dog
47;ILSVRC2012_val_00000048.JPEG;02099601-n;207;golden retriever
48;ILSVRC2012_val_00000049.JPEG;02123045-n;281;tabby, tabby cat
49;ILSVRC2012_val_00000050.JPEG;02879718-n;456;bow
50;ILSVRC2012_val_00000051.JPEG;02749479-n;413;assault rifle, assault gun
51;ILSVRC2012_val_00000052.JPEG;03032252-n;498;cinema, movie theater, movie theatre, movie house, picture palace
52;ILSVRC2012_val_00000053.JPEG;03384352-n;561;forklift
53;ILSVRC2012_val_00000054.JPEG;04033995-n;750;quilt, comforter, comfort, puff
54;ILSVRC2012_val_00000055.JPEG;02093754-n;182;Border terrier
55;ILSVRC2012_val_00000056.JPEG;02113799-n;267;standard poodle
56;ILSVRC2012_val_00000057.JPEG;01978287-n;118;Dungeness crab, Cancer magister
57;ILSVRC2012_val_00000058.JPEG;04548362-n;893;wallet, billfold, notecase, pocketbook
58;ILSVRC2012_val_00000059.JPEG;03527444-n;597;holster
59;ILSVRC2012_val_00000060.JPEG;04367480-n;840;swab, swob, mop
60;ILSVRC2012_val_00000061.JPEG;04355933-n;836;sunglass
61;ILSVRC2012_val_00000062.JPEG;01910747-n;107;jellyfish
62;ILSVRC2012_val_00000063.JPEG;03733805-n;647;measuring cup
63;ILSVRC2012_val_00000064.JPEG;02950826-n;471;cannon
64;ILSVRC2012_val_00000065.JPEG;07720875-n;945;bell pepper
65;ILSVRC2012_val_00000066.JPEG;02865351-n;451;bolo tie, bolo, bola tie, bola
66;ILSVRC2012_val_00000067.JPEG;02101006-n;214;Gordon setter
67;ILSVRC2012_val_00000068.JPEG;04204238-n;790;shopping basket
68;ILSVRC2012_val_00000069.JPEG;02129165-n;291;lion, king of beasts, Panthera leo
69;ILSVRC2012_val_00000070.JPEG;04356056-n;837;sunglasses, dark glasses, shades
70;ILSVRC2012_val_00000071.JPEG;03902125-n;707;pay-phone, pay-station
71;ILSVRC2012_val_00000072.JPEG;02096294-n;193;Australian terrier
72;ILSVRC2012_val_00000073.JPEG;02655020-n;397;puffer, pufferfish, blowfish, globefish
73;ILSVRC2012_val_00000074.JPEG;03404251-n;568;fur coat
74;ILSVRC2012_val_00000075.JPEG;02672831-n;401;accordion, piano accordion, squeeze box
75;ILSVRC2012_val_00000076.JPEG;03895866-n;705;passenger car, coach, carriage
76;ILSVRC2012_val_00000077.JPEG;02097474-n;200;Tibetan terrier, chrysanthemum dog
77;ILSVRC2012_val_00000078.JPEG;02098105-n;202;soft-coated wheaten terrier
78;ILSVRC2012_val_00000079.JPEG;01644373-n;31;tree frog, tree-frog
79;ILSVRC2012_val_00000080.JPEG;07745940-n;949;strawberry
80;ILSVRC2012_val_00000081.JPEG;02445715-n;361;skunk, polecat, wood pussy
81;ILSVRC2012_val_00000082.JPEG;01855032-n;98;red-breasted merganser, Mergus serrator
82;ILSVRC2012_val_00000083.JPEG;03908618-n;709;pencil box, pencil case
83;ILSVRC2012_val_00000084.JPEG;02980441-n;483;castle
84;ILSVRC2012_val_00000085.JPEG;03388183-n;563;fountain pen
85;ILSVRC2012_val_00000086.JPEG;03874599-n;695;padlock
86;ILSVRC2012_val_00000087.JPEG;01983481-n;122;American lobster, Northern lobster, Maine lobster, Homarus americanus
87;ILSVRC2012_val_00000088.JPEG;03028079-n;497;church, church building
88;ILSVRC2012_val_00000089.JPEG;04612504-n;914;yawl
89;ILSVRC2012_val_00000090.JPEG;02966193-n;476;carousel, carrousel, merry-go-round, roundabout, whirligig
90;ILSVRC2012_val_00000091.JPEG;01872401-n;102;echidna, spiny anteater, anteater
91;ILSVRC2012_val_00000092.JPEG;02097298-n;199;Scotch terrier, Scottish terrier, Scottie
92;ILSVRC2012_val_00000093.JPEG;01877812-n;104;wallaby, brush kangaroo
93;ILSVRC2012_val_00000094.JPEG;02102973-n;221;Irish water spaniel
94;ILSVRC2012_val_00000095.JPEG;02018795-n;138;bustard
95;ILSVRC2012_val_00000096.JPEG;02111500-n;257;Great Pyrenees
96;ILSVRC2012_val_00000097.JPEG;02095314-n;188;wire-haired fox terrier
97;ILSVRC2012_val_00000098.JPEG;02814533-n;436;beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
98;ILSVRC2012_val_00000099.JPEG;02105641-n;229;Old English sheepdog, bobtail
99;ILSVRC2012_val_00000100.JPEG;01728572-n;52;thunder snake, worm snake, Carphophis amoenus
100;ILSVRC2012_val_00000101.JPEG;02490219-n;377;marmoset
101;ILSVRC2012_val_00000102.JPEG;02097474-n;200;Tibetan terrier, chrysanthemum dog
102;ILSVRC2012_val_00000103.JPEG;03527444-n;597;holster
103;ILSVRC2012_val_00000104.JPEG;03259280-n;544;Dutch oven
104;ILSVRC2012_val_00000105.JPEG;02009229-n;131;little blue heron, Egretta caerulea
105;ILSVRC2012_val_00000106.JPEG;07711569-n;935;mashed potato
106;ILSVRC2012_val_00000107.JPEG;03535780-n;602;horizontal bar, high bar
107;ILSVRC2012_val_00000108.JPEG;02396427-n;342;wild boar, boar, Sus scrofa
108;ILSVRC2012_val_00000109.JPEG;03085013-n;508;computer keyboard, keypad
109;ILSVRC2012_val_00000110.JPEG;04026417-n;748;purse
110;ILSVRC2012_val_00000111.JPEG;03630383-n;617;lab coat, laboratory coat
111;ILSVRC2012_val_00000112.JPEG;04579145-n;901;whiskey jug
112;ILSVRC2012_val_00000113.JPEG;02093991-n;184;Irish terrier
113;ILSVRC2012_val_00000114.JPEG;03110669-n;513;cornet, horn, trumpet, trump
114;ILSVRC2012_val_00000115.JPEG;02098413-n;204;Lhasa, Lhasa apso
115;ILSVRC2012_val_00000116.JPEG;15075141-n;999;toilet tissue, toilet paper, bathroom tissue
116;ILSVRC2012_val_00000117.JPEG;04152593-n;782;screen, CRT screen
117;ILSVRC2012_val_00000118.JPEG;07565083-n;922;menu
118;ILSVRC2012_val_00000119.JPEG;04479046-n;869;trench coat
119;ILSVRC2012_val_00000120.JPEG;03529860-n;598;home theater, home theatre
120;ILSVRC2012_val_00000121.JPEG;03498962-n;596;hatchet
121;ILSVRC2012_val_00000122.JPEG;03888257-n;701;parachute, chute
122;ILSVRC2012_val_00000123.JPEG;09193705-n;970;alp
123;ILSVRC2012_val_00000124.JPEG;02869837-n;452;bonnet, poke bonnet
124;ILSVRC2012_val_00000125.JPEG;03690938-n;631;lotion
125;ILSVRC2012_val_00000126.JPEG;04285008-n;817;sports car, sport car
126;ILSVRC2012_val_00000127.JPEG;01735189-n;57;garter snake, grass snake
127;ILSVRC2012_val_00000128.JPEG;02666196-n;398;abacus
128;ILSVRC2012_val_00000129.JPEG;04525038-n;885;velvet
129;ILSVRC2012_val_00000130.JPEG;01530575-n;10;brambling, Fringilla montifringilla
130;ILSVRC2012_val_00000131.JPEG;02128385-n;288;leopard, Panthera pardus
131;ILSVRC2012_val_00000132.JPEG;02172182-n;305;dung beetle
132;ILSVRC2012_val_00000133.JPEG;01665541-n;34;leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
133;ILSVRC2012_val_00000134.JPEG;01943899-n;112;conch
134;ILSVRC2012_val_00000135.JPEG;02115641-n;273;dingo, warrigal, warragal, Canis dingo
135;ILSVRC2012_val_00000136.JPEG;01980166-n;120;fiddler crab
136;ILSVRC2012_val_00000137.JPEG;07831146-n;959;carbonara
137;ILSVRC2012_val_00000138.JPEG;03773504-n;657;missile
138;ILSVRC2012_val_00000139.JPEG;04317175-n;823;stethoscope
139;ILSVRC2012_val_00000140.JPEG;02441942-n;356;weasel
140;ILSVRC2012_val_00000141.JPEG;01644900-n;32;tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
141;ILSVRC2012_val_00000142.JPEG;03773504-n;657;missile
142;ILSVRC2012_val_00000143.JPEG;04040759-n;753;radiator
143;ILSVRC2012_val_00000144.JPEG;02486410-n;372;baboon
144;ILSVRC2012_val_00000145.JPEG;02457408-n;364;three-toed sloth, ai, Bradypus tridactylus
145;ILSVRC2012_val_00000146.JPEG;02415577-n;349;bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis
146;ILSVRC2012_val_00000147.JPEG;01883070-n;106;wombat
147;ILSVRC2012_val_00000148.JPEG;03110669-n;513;cornet, horn, trumpet, trump
148;ILSVRC2012_val_00000149.JPEG;03314780-n;551;face powder
149;ILSVRC2012_val_00000150.JPEG;02480855-n;366;gorilla, Gorilla gorilla
150;ILSVRC2012_val_00000151.JPEG;02105505-n;228;komondor
151;ILSVRC2012_val_00000152.JPEG;06596364-n;917;comic book
152;ILSVRC2012_val_00000153.JPEG;02910353-n;464;buckle
153;ILSVRC2012_val_00000154.JPEG;03770439-n;655;miniskirt, mini
154;ILSVRC2012_val_00000155.JPEG;03983396-n;737;pop bottle, soda bottle
155;ILSVRC2012_val_00000156.JPEG;01737021-n;58;water snake
156;ILSVRC2012_val_00000157.JPEG;01744401-n;62;rock python, rock snake, Python sebae
157;ILSVRC2012_val_00000158.JPEG;02102318-n;219;cocker spaniel, English cocker spaniel, cocker
158;ILSVRC2012_val_00000159.JPEG;04346328-n;832;stupa, tope
159;ILSVRC2012_val_00000160.JPEG;07565083-n;922;menu
160;ILSVRC2012_val_00000161.JPEG;02096177-n;192;cairn, cairn terrier
161;ILSVRC2012_val_00000162.JPEG;02168699-n;303;long-horned beetle, longicorn, longicorn beetle
162;ILSVRC2012_val_00000163.JPEG;07730033-n;946;cardoon
163;ILSVRC2012_val_00000164.JPEG;13052670-n;996;hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
164;ILSVRC2012_val_00000165.JPEG;03983396-n;737;pop bottle, soda bottle
165;ILSVRC2012_val_00000166.JPEG;02342885-n;333;hamster
166;ILSVRC2012_val_00000167.JPEG;03961711-n;729;plate rack
167;ILSVRC2012_val_00000168.JPEG;04325704-n;824;stole
168;ILSVRC2012_val_00000169.JPEG;03126707-n;517;crane
169;ILSVRC2012_val_00000170.JPEG;01819313-n;89;sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
170;ILSVRC2012_val_00000171.JPEG;03947888-n;724;pirate, pirate ship
171;ILSVRC2012_val_00000172.JPEG;01484850-n;2;great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
172;ILSVRC2012_val_00000173.JPEG;04335435-n;829;streetcar, tram, tramcar, trolley, trolley car
173;ILSVRC2012_val_00000174.JPEG;02091134-n;172;whippet
174;ILSVRC2012_val_00000175.JPEG;02113712-n;266;miniature poodle
175;ILSVRC2012_val_00000176.JPEG;01984695-n;123;spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish
176;ILSVRC2012_val_00000177.JPEG;02808304-n;434;bath towel
177;ILSVRC2012_val_00000178.JPEG;02074367-n;149;dugong, Dugong dugon
178;ILSVRC2012_val_00000179.JPEG;01677366-n;39;common iguana, iguana, Iguana iguana
179;ILSVRC2012_val_00000180.JPEG;02091032-n;171;Italian greyhound
180;ILSVRC2012_val_00000181.JPEG;01689811-n;44;alligator lizard
181;ILSVRC2012_val_00000182.JPEG;03777754-n;662;modem
182;ILSVRC2012_val_00000183.JPEG;03977966-n;734;police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
183;ILSVRC2012_val_00000184.JPEG;04152593-n;782;screen, CRT screen
184;ILSVRC2012_val_00000185.JPEG;02114548-n;270;white wolf, Arctic wolf, Canis lupus tundrarum
185;ILSVRC2012_val_00000186.JPEG;02085936-n;153;Maltese dog, Maltese terrier, Maltese
186;ILSVRC2012_val_00000187.JPEG;02123394-n;283;Persian cat
187;ILSVRC2012_val_00000188.JPEG;01737021-n;58;water snake
188;ILSVRC2012_val_00000189.JPEG;02102040-n;217;English springer, English springer spaniel
189;ILSVRC2012_val_00000190.JPEG;03459775-n;581;grille, radiator grille
190;ILSVRC2012_val_00000191.JPEG;02090721-n;170;Irish wolfhound
191;ILSVRC2012_val_00000192.JPEG;02174001-n;306;rhinoceros beetle
192;ILSVRC2012_val_00000193.JPEG;03866082-n;689;overskirt
193;ILSVRC2012_val_00000194.JPEG;04040759-n;753;radiator
194;ILSVRC2012_val_00000195.JPEG;03602883-n;613;joystick
195;ILSVRC2012_val_00000196.JPEG;02871525-n;454;bookshop, bookstore, bookstall
196;ILSVRC2012_val_00000197.JPEG;04525038-n;885;velvet
197;ILSVRC2012_val_00000198.JPEG;02606052-n;392;rock beauty, Holocanthus tricolor
198;ILSVRC2012_val_00000199.JPEG;02256656-n;316;cicada, cicala
199;ILSVRC2012_val_00000200.JPEG;07760859-n;956;custard apple
200;ILSVRC2012_val_00000201.JPEG;03180011-n;527;desktop computer
201;ILSVRC2012_val_00000202.JPEG;04285008-n;817;sports car, sport car
202;ILSVRC2012_val_00000203.JPEG;01694178-n;47;African chameleon, Chamaeleo chamaeleon
203;ILSVRC2012_val_00000204.JPEG;02104365-n;223;schipperke
204;ILSVRC2012_val_00000205.JPEG;03125729-n;516;cradle
205;ILSVRC2012_val_00000206.JPEG;01860187-n;100;black swan, Cygnus atratus
206;ILSVRC2012_val_00000207.JPEG;02823750-n;441;beer glass
207;ILSVRC2012_val_00000208.JPEG;03775546-n;659;mixing bowl
208;ILSVRC2012_val_00000209.JPEG;04252225-n;803;snowplow, snowplough
209;ILSVRC2012_val_00000210.JPEG;02134418-n;297;sloth bear, Melursus ursinus, Ursus ursinus
210;ILSVRC2012_val_00000211.JPEG;01843065-n;95;jacamar
211;ILSVRC2012_val_00000212.JPEG;02397096-n;343;warthog
212;ILSVRC2012_val_00000213.JPEG;03447447-n;576;gondola
213;ILSVRC2012_val_00000214.JPEG;02481823-n;367;chimpanzee, chimp, Pan troglodytes
214;ILSVRC2012_val_00000215.JPEG;03447447-n;576;gondola
215;ILSVRC2012_val_00000216.JPEG;02325366-n;330;wood rabbit, cottontail, cottontail rabbit
216;ILSVRC2012_val_00000217.JPEG;02606052-n;392;rock beauty, Holocanthus tricolor
217;ILSVRC2012_val_00000218.JPEG;03594945-n;609;jeep, landrover
218;ILSVRC2012_val_00000219.JPEG;07860988-n;961;dough
219;ILSVRC2012_val_00000220.JPEG;02037110-n;143;oystercatcher, oyster catcher
220;ILSVRC2012_val_00000221.JPEG;04286575-n;818;spotlight, spot
221;ILSVRC2012_val_00000222.JPEG;04090263-n;764;rifle
222;ILSVRC2012_val_00000223.JPEG;02490219-n;377;marmoset
223;ILSVRC2012_val_00000224.JPEG;02096177-n;192;cairn, cairn terrier
224;ILSVRC2012_val_00000225.JPEG;03017168-n;494;chime, bell, gong
225;ILSVRC2012_val_00000226.JPEG;04310018-n;820;steam locomotive
226;ILSVRC2012_val_00000227.JPEG;02077923-n;150;sea lion
227;ILSVRC2012_val_00000228.JPEG;02098413-n;204;Lhasa, Lhasa apso
228;ILSVRC2012_val_00000229.JPEG;02894605-n;460;breakwater, groin, groyne, mole, bulwark, seawall, jetty
229;ILSVRC2012_val_00000230.JPEG;04118776-n;769;rule, ruler
230;ILSVRC2012_val_00000231.JPEG;03642806-n;620;laptop, laptop computer
231;ILSVRC2012_val_00000232.JPEG;04243546-n;800;slot, one-armed bandit
232;ILSVRC2012_val_00000233.JPEG;02085936-n;153;Maltese dog, Maltese terrier, Maltese
233;ILSVRC2012_val_00000234.JPEG;03838899-n;683;oboe, hautboy, hautbois
234;ILSVRC2012_val_00000235.JPEG;02480495-n;365;orangutan, orang, orangutang, Pongo pygmaeus
235;ILSVRC2012_val_00000236.JPEG;02860847-n;450;bobsled, bobsleigh, bob
236;ILSVRC2012_val_00000237.JPEG;02099601-n;207;golden retriever
237;ILSVRC2012_val_00000238.JPEG;03627232-n;616;knot
238;ILSVRC2012_val_00000239.JPEG;11939491-n;985;daisy
239;ILSVRC2012_val_00000240.JPEG;13040303-n;994;stinkhorn, carrion fungus
240;ILSVRC2012_val_00000241.JPEG;02236044-n;315;mantis, mantid
241;ILSVRC2012_val_00000242.JPEG;01877812-n;104;wallaby, brush kangaroo
242;ILSVRC2012_val_00000243.JPEG;03496892-n;595;harvester, reaper
243;ILSVRC2012_val_00000244.JPEG;03249569-n;541;drum, membranophone, tympan
244;ILSVRC2012_val_00000245.JPEG;03642806-n;620;laptop, laptop computer
245;ILSVRC2012_val_00000246.JPEG;01728572-n;52;thunder snake, worm snake, Carphophis amoenus
246;ILSVRC2012_val_00000247.JPEG;02514041-n;389;barracouta, snoek
247;ILSVRC2012_val_00000248.JPEG;01692333-n;45;Gila monster, Heloderma suspectum
248;ILSVRC2012_val_00000249.JPEG;04049303-n;756;rain barrel
249;ILSVRC2012_val_00000250.JPEG;02168699-n;303;long-horned beetle, longicorn, longicorn beetle
250;ILSVRC2012_val_00000251.JPEG;02319095-n;328;sea urchin
251;ILSVRC2012_val_00000252.JPEG;04579145-n;901;whiskey jug
252;ILSVRC2012_val_00000253.JPEG;12985857-n;991;coral fungus
253;ILSVRC2012_val_00000254.JPEG;02128925-n;290;jaguar, panther, Panthera onca, Felis onca
254;ILSVRC2012_val_00000255.JPEG;10148035-n;982;groom, bridegroom
255;ILSVRC2012_val_00000256.JPEG;04311004-n;821;steel arch bridge
256;ILSVRC2012_val_00000257.JPEG;04612504-n;914;yawl
257;ILSVRC2012_val_00000258.JPEG;03026506-n;496;Christmas stocking
258;ILSVRC2012_val_00000259.JPEG;11879895-n;984;rapeseed
259;ILSVRC2012_val_00000260.JPEG;09399592-n;976;promontory, headland, head, foreland
260;ILSVRC2012_val_00000261.JPEG;03916031-n;711;perfume, essence
261;ILSVRC2012_val_00000262.JPEG;02860847-n;450;bobsled, bobsleigh, bob
262;ILSVRC2012_val_00000263.JPEG;01753488-n;66;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
263;ILSVRC2012_val_00000264.JPEG;03388549-n;564;four-poster
264;ILSVRC2012_val_00000265.JPEG;03476684-n;584;hair slide
265;ILSVRC2012_val_00000266.JPEG;03291819-n;549;envelope
266;ILSVRC2012_val_00000267.JPEG;04372370-n;844;switch, electric switch, electrical switch
267;ILSVRC2012_val_00000268.JPEG;03240683-n;540;drilling platform, offshore rig
268;ILSVRC2012_val_00000269.JPEG;01491361-n;3;tiger shark, Galeocerdo cuvieri
269;ILSVRC2012_val_00000270.JPEG;02445715-n;361;skunk, polecat, wood pussy
270;ILSVRC2012_val_00000271.JPEG;03825788-n;680;nipple
271;ILSVRC2012_val_00000272.JPEG;03933933-n;718;pier
272;ILSVRC2012_val_00000273.JPEG;01689811-n;44;alligator lizard
273;ILSVRC2012_val_00000274.JPEG;04447861-n;861;toilet seat
274;ILSVRC2012_val_00000275.JPEG;03450230-n;578;gown
275;ILSVRC2012_val_00000276.JPEG;03026506-n;496;Christmas stocking
276;ILSVRC2012_val_00000277.JPEG;03482405-n;588;hamper
277;ILSVRC2012_val_00000278.JPEG;02749479-n;413;assault rifle, assault gun
278;ILSVRC2012_val_00000279.JPEG;01631663-n;27;eft
279;ILSVRC2012_val_00000280.JPEG;03788365-n;669;mosquito net
280;ILSVRC2012_val_00000281.JPEG;02132136-n;294;brown bear, bruin, Ursus arctos
281;ILSVRC2012_val_00000282.JPEG;07860988-n;961;dough
282;ILSVRC2012_val_00000283.JPEG;01530575-n;10;brambling, Fringilla montifringilla
283;ILSVRC2012_val_00000284.JPEG;02346627-n;334;porcupine, hedgehog
284;ILSVRC2012_val_00000285.JPEG;07711569-n;935;mashed potato
285;ILSVRC2012_val_00000286.JPEG;04296562-n;819;stage
286;ILSVRC2012_val_00000287.JPEG;03127747-n;518;crash helmet
287;ILSVRC2012_val_00000288.JPEG;02106662-n;235;German shepherd, German shepherd dog, German police dog, alsatian
288;ILSVRC2012_val_00000289.JPEG;02109047-n;246;Great Dane
289;ILSVRC2012_val_00000290.JPEG;03187595-n;528;dial telephone, dial phone
290;ILSVRC2012_val_00000291.JPEG;04326547-n;825;stone wall
291;ILSVRC2012_val_00000292.JPEG;02493793-n;381;spider monkey, Ateles geoffroyi
292;ILSVRC2012_val_00000293.JPEG;02859443-n;449;boathouse
293;ILSVRC2012_val_00000294.JPEG;02128757-n;289;snow leopard, ounce, Panthera uncia
294;ILSVRC2012_val_00000295.JPEG;03840681-n;684;ocarina, sweet potato
295;ILSVRC2012_val_00000296.JPEG;03837869-n;682;obelisk
296;ILSVRC2012_val_00000297.JPEG;02930766-n;468;cab, hack, taxi, taxicab
297;ILSVRC2012_val_00000298.JPEG;03000134-n;489;chainlink fence
298;ILSVRC2012_val_00000299.JPEG;03534580-n;601;hoopskirt, crinoline
299;ILSVRC2012_val_00000300.JPEG;01753488-n;66;horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
300;ILSVRC2012_val_00000301.JPEG;03775071-n;658;mitten
301;ILSVRC2012_val_00000302.JPEG;03793489-n;673;mouse, computer mouse
302;ILSVRC2012_val_00000303.JPEG;01774750-n;76;tarantula
303;ILSVRC2012_val_00000304.JPEG;04525305-n;886;vending machine
304;ILSVRC2012_val_00000305.JPEG;04033995-n;750;quilt, comforter, comfort, puff
305;ILSVRC2012_val_00000306.JPEG;02088364-n;162;beagle
306;ILSVRC2012_val_00000307.JPEG;02860847-n;450;bobsled, bobsleigh, bob
307;ILSVRC2012_val_00000308.JPEG;03492542-n;592;hard disc, hard disk, fixed disk
308;ILSVRC2012_val_00000309.JPEG;04525038-n;885;velvet
309;ILSVRC2012_val_00000310.JPEG;02492660-n;379;howler monkey, howler
310;ILSVRC2012_val_00000311.JPEG;07754684-n;955;jackfruit, jak, jack
311;ILSVRC2012_val_00000312.JPEG;02841315-n;447;binoculars, field glasses, opera glasses
312;ILSVRC2012_val_00000313.JPEG;02444819-n;360;otter
313;ILSVRC2012_val_00000314.JPEG;06874185-n;920;traffic light, traffic signal, stoplight
314;ILSVRC2012_val_00000315.JPEG;02395406-n;341;hog, pig, grunter, squealer, Sus scrofa
315;ILSVRC2012_val_00000316.JPEG;02865351-n;451;bolo tie, bolo, bola tie, bola
316;ILSVRC2012_val_00000317.JPEG;13040303-n;994;stinkhorn, carrion fungus
317;ILSVRC2012_val_00000318.JPEG;02669723-n;400;academic gown, academic robe, judge's robe
318;ILSVRC2012_val_00000319.JPEG;02101388-n;215;Brittany spaniel
319;ILSVRC2012_val_00000320.JPEG;02105641-n;229;Old English sheepdog, bobtail
320;ILSVRC2012_val_00000321.JPEG;03255030-n;543;dumbbell
321;ILSVRC2012_val_00000322.JPEG;01689811-n;44;alligator lizard
322;ILSVRC2012_val_00000323.JPEG;01755581-n;67;diamondback, diamondback rattlesnake, Crotalus adamanteus
323;ILSVRC2012_val_00000324.JPEG;03000247-n;490;chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
324;ILSVRC2012_val_00000325.JPEG;04263257-n;809;soup bowl
325;ILSVRC2012_val_00000326.JPEG;01682714-n;40;American chameleon, anole, Anolis carolinensis
326;ILSVRC2012_val_00000327.JPEG;01687978-n;42;agama
327;ILSVRC2012_val_00000328.JPEG;02655020-n;397;puffer, pufferfish, blowfish, globefish
328;ILSVRC2012_val_00000329.JPEG;02497673-n;383;Madagascar cat, ring-tailed lemur, Lemur catta
329;ILSVRC2012_val_00000330.JPEG;03937543-n;720;pill bottle
330;ILSVRC2012_val_00000331.JPEG;03788195-n;668;mosque
331;ILSVRC2012_val_00000332.JPEG;03991062-n;738;pot, flowerpot
332;ILSVRC2012_val_00000333.JPEG;02037110-n;143;oystercatcher, oyster catcher
333;ILSVRC2012_val_00000334.JPEG;07579787-n;923;plate
334;ILSVRC2012_val_00000335.JPEG;04371774-n;843;swing
335;ILSVRC2012_val_00000336.JPEG;04310018-n;820;steam locomotive
336;ILSVRC2012_val_00000337.JPEG;02988304-n;485;CD player
337;ILSVRC2012_val_00000338.JPEG;04204238-n;790;shopping basket
338;ILSVRC2012_val_00000339.JPEG;03188531-n;529;diaper, nappy, napkin
339;ILSVRC2012_val_00000340.JPEG;01669191-n;37;box turtle, box tortoise
